id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897606,NCT02766608,SECONDARY,Percentage of Subjects Achieving an MCID (Minimal Clinically Important Difference) of 4 Units or More in SGRQ at Week 24,"The SGRQ (St. George's Respiratory Questionnaire) is a disease-specific questionnaire, self-completed by participants, used to evaluate the effect of BFF MDI, FF MDI, BD MDI, \& Symbicort TBH on health-related quality of life as compared to placebo in subjects with COPD. The scores range from 0 (minimum, best possible health status) to 100 (maximum, worst possible health status). The SGRQ contains 76 items grouped into three domains (symptoms, activity and impacts). Change from Baseline at a particular visit was calculated as the SGRQ total score at that visit minus Baseline. Change from Baseline in total score of -4 units or lower is considered as clinically meaningful improvement in quality of life.",at Week 24,mITT,,,Percentage of Subjects,,,NUMBER
101014861,NCT04441996,SECONDARY,Duration of ICU Stay,"The number of days spent in the ICU after study enrollment is presented here. All patients are included in calculating the reported mean, including those whose ICU stay ended due to death.",Up to Day 48,,,,days,,Standard Deviation,MEAN
101014862,NCT04441996,SECONDARY,Duration of Hospital Stay,"The number of days spent hospitalized after study enrollment is presented here. All patients are included in calculating the reported mean, including those whose hospitalization ended due to death.",Up to Day 48,,,,days,,Standard Deviation,MEAN
100779429,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥8 Against N. Meningitidis Serogroup C,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥8 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination) , day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779430,NCT02986854,SECONDARY,Percentage of Subjects With hSBA Titer ≥8 Against N. Meningitidis Serogroup W,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥8 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination), day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779431,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥8 Against N. Meningitidis Serogroup Y,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥8 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination), day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779432,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥16 Against N. Meningitidis Serogroup A,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥16 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination), day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779433,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥16 Against N. Meningitidis Serogroup C,"Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup","At day 1(pre-vaccination) , day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779434,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥16 Against N. Meningitidis Serogroup W,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥16 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination), day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779435,NCT02986854,SECONDARY,Percentages of Subjects With hSBA Titer ≥16 Against N. Meningitidis Serogroup Y,"For each study group and in the pooled group, percentages of subjects with hSBA titer ≥16 and associated two-sided 95%CIs were calculated.","At day 1(pre-vaccination) , day 4, day 6 and day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentage of subjects,,95% Confidence Interval,NUMBER
100779436,NCT02986854,SECONDARY,"Percentages of Subjects With hSBA Seroresponse Against N. Meningitidis Serogroups A, C, W and Y","Seroresponse is defined for this study as follows: For subjects with pre-vaccination titers \<4, postvaccination titers ≥ 16; for subjects with pre-vaccination titers ≥4, post vaccination titers at least 4 times the pre-vaccination titers.",At Day 4 and Day 6,"Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Percentages of subjects,,95% Confidence Interval,NUMBER
100897607,NCT02766608,SECONDARY,Change From Baseline in Morning Pre-dose Trough FEV1 at Week 24 (BFF MDI vs BD MDI),Change from baseline in morning pre-dose trough FEV1(Forced Expiratory Volume in 1 second) at Week 24 (BFF MDI vs BD MDI),at Week 24,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779437,NCT02986854,SECONDARY,"hSBA Geometric Mean Titers (GMTs) Against N. Meningitidis Serogroup A, C, W and Y.","For each N. meningitidis serogroup A, C, W and Y, unadjusted GMTs were calculated, with their associated two-sided 95% Confidence Interval.","At Day 1 (pre-vaccination), Day 4, Day 6 and Day 29","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Titers,,95% Confidence Interval,GEOMETRIC_MEAN
100779438,NCT02986854,SECONDARY,Within Group hSBA Geometric Mean Ratios (GMRs),"Within each study group and for each serogroup, GMRs were calculated,at: Visit Day 4 versus at Visit Day 1; Visit Day 6 versus at Visit Day 1; and Visit Day 29 versus at Visit Day 1. The unadjusted GMRs and 95% CIs are constructed by exponentiating the mean within-group differences in log-transformed titers and the corresponding 95% CIs.","At Day 4, Day 6, Day 29 compared to Day 1","Analysis was performed on per protocol set for immunogenicity, which included all randomized subjects who had no protocol deviations and were not excluded due to other reasons defined prior to unblinding/analysis, who received study vaccination and provided evaluable serum samples at each time point, with result available for at least 1 serogroup",,,Ratios,,95% Confidence Interval,GEOMETRIC_MEAN
100779439,NCT01707381,PRIMARY,24 Hour IOP,Supine intraocular pressure (IOP) measured in the study eye following 4 weeks of treatment,after 4 weeks of treatment,"Intent to Treat (ITT) Population:All randomized subjects who received at least one dose of study drug, had a baseline and at least one postbaseline intraocular assessment.",,,mm Hg,,Standard Deviation,LEAST_SQUARES_MEAN
100779440,NCT01707381,SECONDARY,24-hour Ocular Perfusion Pressure,"Sitting Ocular Perfusion Pressure = 95/140 x mean arterial blood pressure - IOP; Supine Ocular Perfusion Pressure = 115/130 x mean arterial blood pressure - IOP; the nocturnal time frame encompassed measures taken at 10pm, 12am, 2am and 4 am; whereas the diurnal time frame encompassed measures taken at 6am, 8am, 10am, 12pm, 2pm, 4pm, 6pm, and 8pm.",after 4 weeks of treatment,"Intent to Treat (ITT): All randomized subjects who received at least one dose of study drug, had a baseline, and at least one post baseline intraocular assessment.",,,mm Hg,,Standard Deviation,MEAN
100779441,NCT01707381,SECONDARY,IOP Area Under the Curve Over 24 Hours,"The Area Under the Curve(AUC) is the weighted average of IOP over all 24-hour IOP assessment times (2pm, 4pm, 6pm, 8pm, 10pm, 12am, 2am, 4am, 6am, 8am, 10am, 12pm). The AUC was calculated using the trapezoidal rule.",after 4 weeks of treatment,ITT population,,,mm Hg,,Standard Deviation,LEAST_SQUARES_MEAN
100779442,NCT00086411,PRIMARY,Percent Treatment Sessions Attended,"Completion of Treatment and Smoking Cessation by Two Different Types of Medications and Counseling Types at 12, 26, and 52 Weeks Post-treatment Initiation. The counseling types were Medication Management (MM) and Mayo counseling models. MM counseling was a 4 session lower intensity counseling model and Mayo counseling was a 10 session higher intensity model.

A twofold definition of treatment completion included both medication and counseling session adherence. Treatment completion was defined as consistently taking the active medication as prescribed (80%) of the time during the medication period and attending at least 7 of the 10 required High C sessions or 3 of the 4 Low C sessions. Participants had to meet both requirements to be designated as full treatment completers.

Seven-day point prevalence abstinence was the primary measure of abstinence at follow-up Weeks 12, 24, and 52. Abstinence was confirmed by biochemical testing.",52 weeks,,,,Percentage of attended tx. sessions,,Standard Error,MEAN
100779443,NCT00086411,SECONDARY,"Delineate Mediators Associated With Different Treatment Conditions (i.e., Medication Compliance, Participant Views of Self-help Written Materials and Counseling Type.",,52 weeks,"PI is no longer with institution. All efforts have been exhausted to locate this data, but no data is available to be reported",,,,,,
100779444,NCT00718770,PRIMARY,Change in Tumor Size,To assess the tumor response of recurrent or metastatic radioiodine resistant thyroid cancer to bexarotene therapy using standard RECIST criteria,1 year,Adults with radioiodine resistant metastatic follicular cell derived thyroid cancer,,,cm,,Standard Deviation,MEAN
100779445,NCT01624090,PRIMARY,Number of Participants With an Objective Response (Complete Response + Partial Response),"Objective response was assessed by the Response Evaluation Criteria in Solid Tumors (RECIST). Complete Response (CR) is disappearance of all target lesions. Any pathological lymph nodes (whether target or non-target) must have reduction in short axis to \<10mm. Partial Response (PR) is at least a 30% decrease in the sum of the diameters of target lesions, taking as reference the baseline sum diameters. Progressive Disease (PD) is at least a 20% increase in the sum of the diameters of target lesion, taking as reference the smallest sum on study (this includes the baseline sum if that is the smallest on study). In addition to the relative increase of 20%, the sum must also demonstrate an absolute increase of at least 5mm. (Note: the appearance of one or more new lesions is also considered progressions). Stable Disease (SD) is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD, taking as reference the smallest sum diameters while on study.","Every 8 weeks until disease progression or unacceptable toxicity, over an average of 4 months.","One participant in DL1 30 mcg thoracic died on study, one participant in DL1 30 mcg extra thoracic experienced a dose limiting toxicity and was taken off therapy, and 1 withdrew prior to trmt, two participants in DL1 25 mcg thoracic died on study, and two did not complete one course of therapy prior to treatment evaluation for this outcome measure.",,,Participants,,,COUNT_OF_PARTICIPANTS
100779446,NCT01624090,SECONDARY,Number of Participants With Serious and Non-Serious Adverse Events,"Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.","Date treatment consent signed to date off study, approx. 9 mos & 6 days DL1 30 mcg/kg thoracic group, 2 mos & 16 days DL1 30 mcg/kg extra-thoracic group, 5 mos & 26 days DL-1 25 mcg/kg thoracic group, & 20 days DL-1 25 mcg/kg extra-thoracic group",One participant was enrolled in the 30 mcg/kg extra thoracic group but withdrew prior to treatment.,,,Participants,,,COUNT_OF_PARTICIPANTS
100779447,NCT00772109,PRIMARY,Geometric Mean Titers (GMTs) at Baseline and Post-vaccination With Either Fluzone Intradermal or Fluzone Intramuscular Vaccines,The serological determinations of anti influenza antibodies was by Hemagglutination Inhibition (HAI) assay,Baseline (Day 0) and 28 Days post-vaccination,Geometric Mean Titers (GMTs) were analyzed in the per-protocol population,,,Titer,,95% Confidence Interval,GEOMETRIC_MEAN
100897608,NCT02766608,SECONDARY,Peak Change From Baseline in FEV1 at Week 24 (BFF MDI vs BD MDI),Peak change from baseline in FEV1 (Forced Expiratory Volume in 1 second) at Week 24 (BFF MDI vs BD MDI),at Week 24,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779448,NCT00772109,PRIMARY,Percentage of Participants Who Achieved Seroconversion Post-vaccination With Either Fluzone Intradermal or Fluzone Intramuscular Vaccine,"The serological determinations of anti influenza antibodies was by Hemagglutination Inhibition (HAI) assay.

Seroconversion was defined as either a pre-vaccination HAI titer \< 1:10 and post-vaccination titer of ≥ 1:40, or a pre-vaccination titer ≥ 1:10 and a minimum of four-fold increase 28 days post-vaccination.",28 Days post-vaccination,Seroprotection was analyzed in the per-protocol population,,,Percentage of Participants,,,NUMBER
100779449,NCT00772109,SECONDARY,Percentage of Participants Who Achieved Seroprotection Pre- and Post-vaccination With Either Fluzone ID or Fluzone IM,"The serological determinations of anti influenza antibodies was by Hemagglutination Inhibition (HAI) assay.

Seroprotection was defined as a HAI antibody titer ≥ 1:40.",Before and 28 Days post-vaccination,4-Fold increase in antibody levels were analyzed in h per-protocol population,,,Percentage of Participants,,,NUMBER
100897609,NCT02766608,SECONDARY,Change From Baseline in Average Daily Rescue Ventolin HFA Use Over 24 Weeks (BFF MDI vs BD MDI),Change from baseline in average daily rescue Ventolin HFA use over 24 weeks (BFF MDI vs BD MDI),over 24 Weeks,mITT,,,Puffs per day,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779450,NCT00772109,SECONDARY,"Number of Participants Reporting a Solicited Injection Site or Systemic Reactions, Post Vaccination With Either Fluzone Intradermal or Fluzone Intramuscular Vaccine","Solicited injection site reactions: Ecchymosis, Erythema, Induration, Pain, Pruritus, and Swelling. Solicited systemic reactions: Fever (Temperature), Headache, Malaise, Myalgia, and Shivering.",Day 0 up to 7 Days post vaccination,"Safety analysis was on all enrolled and vaccinated participants, intend-to-treat population",,,Participants,,,NUMBER
100779451,NCT00752726,PRIMARY,Change From Baseline to Week 24 in Abdominal VAT Mass,VAT was measured by the computed tomography (CT) scan.,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,kg,,Standard Deviation,MEAN
100779452,NCT00752726,SECONDARY,Change From Baseline to Week 12 in Abdominal VAT Mass,Abdominal VAT mass from baseline to week 12 was measured by CT scan.,Baseline to week 12,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,kg,,Standard Deviation,MEAN
100779453,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Body Weight,Participants were weighed at least twice until two consecutive measurements were within 0.5 kg of each other and the average of the two measurements was recorded.,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,kg,,Standard Deviation,MEAN
100779454,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Total Fat Mass,Change in total fat mass was calculated from an average of three measurements at each visit from Echo Magnetic Resonance Imaging (EchoMRI).,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,kg,,Standard Deviation,MEAN
100779455,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Percentage Body Fat,Body fat was assessed through Bioelectrical Impedance Analysis (BIA).,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,Percentage (%) body fat,,Standard Deviation,MEAN
100779456,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Waist Circumference,"Waist circumference was measured against the skin, without interference from clothing, at the level midway between the lateral lower rib margin and the iliac crest in standing position.",Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,cm,,Standard Deviation,MEAN
100897610,NCT02766608,SECONDARY,"FEV1 on Day 1, 5 Minutes, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 5 Minutes,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779457,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Percentage Liver Fat,"For Liver fat, Intrahepatic lipids (IHL) were measured by Magnetic Resonance Spectroscopy (MRS).",Baseline to week 24,ITT subset (participants who had this post-baseline efficacy assessment) from one study site was analysed for this parameter.,,,Percentage (%) IHL,,Standard Deviation,MEAN
100779458,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Liver Fat,The liver fat was measured by CT scan in Hounsfield Units (HU).,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,Hounsfield Units (HU),,Standard Deviation,MEAN
100779459,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Total Calories Expended for Physical Activity,Measurement of physical activity from Paffenbarger questionnaire. The number of caloried expended was representation of activity level: Higher calorie counts indicate higher activity,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment.",,,Kilocalorie (kcal)/week,,Standard Deviation,MEAN
100779460,NCT00752726,SECONDARY,Change From Baseline to Week 24 in Quality of Life (QoL) Scores.,"QoL scores were measured using an Impact of Weight Quality of Life (IWQoL) Questionnaire, which scored the responses at a scale of 1 to 5(1, never true, to 5, always true): QoL scales for physical function, self-esteem, sexual life, public distress, and work were evaluated, and summarized in a total score. A higher value indicated a better quality of life.",Baseline to week 24,"This analysis was carried out for the observed ITT population, i.e. ITT subjects who had this post-baseline efficacy assessment.",,,Score on a Scale,,Standard Deviation,MEAN
100779461,NCT00752726,SECONDARY,Selectivity Index at Week 24,The selectivity index (SI) was used as a measure of orlistat's ability to target abdominal VAT loss compared to total adipose tissue lost. SI was calculated using the following equation: Mean % change in VAT divided by Mean % change in total fat mass.,Baseline to week 24,"This analysis was carried out for the observed ITT population, who had this post-baseline efficacy assessment, only in Orlistat 60 mg group. This analysis was not carried out for placebo group.",,,Ratio,,,NUMBER
100779462,NCT01403116,PRIMARY,Percentage of Treated Patients With Average Serum Testosterone (T) Concentrations (Cavg) Between 300 and 1000 ng/dL,The percentages of treated subjects that had 24-hour serum testosterone (T) average concentrations (Cavg) between 300 and 1000 ng/dL,Following 90 days of treatment,Intent to treat population,,,percentage of partipants,,95% Confidence Interval,GEOMETRIC_MEAN
100779463,NCT01403116,SECONDARY,% of Oral TU Subjects With 24-hour Maximum Serum T Concentrations (Cmax) Greater Than 1500 ng/dL on Day 90,Percentage of Oral TU treated patients who reached study day 90 and had a maximum serum T concentrations (Cmax) values greater than 1500 ng/dL(objective to meet \<15%).,90 days,Percent of oral TU treated subjects with Cmax \>1500 ng/dL at Study Day 90,,,Participants,,,COUNT_OF_PARTICIPANTS
100779464,NCT02039856,PRIMARY,WH-PACT Achievement,"The Women's Health Patient-Aligned Care Team achievement, based on four patient-reported measures of access to care, patient-provider communication, comprehensiveness of care, and gender-appropriateness of care. The WH-PACT achievement is an aggregate score from -4 to +4, with the higher score meaning better PACT achievement.",Baseline to 24-month,The analysis included the patients who had completed the 24-month survey. One patient in the EBQI arm had missing data for outcome measure and was excluded from the analysis.,,,Participants,,,COUNT_OF_PARTICIPANTS
100897611,NCT02766608,SECONDARY,"FEV1 on Day 1, 15 Minutes, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 15 Minutes,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779465,NCT02039856,SECONDARY,Providers' and Staff Gender Sensitivity,Gender sensitivity score based on 10 survey items related to providers' and staff's sensitivity towards women Veterans during patient care. The score ranged from 1 to 5 with the higher score reflecting greater gender sensitivity toward women Veterans.,Baseline to 24-month,Primary care and women's health providers and staff. The analysis was based on cases with non-missing outcome data. There were 28 missing cases in the EBQI arm and 9 missing in the control arm.,,,score on a scale,,Standard Deviation,MEAN
100779466,NCT02039856,SECONDARY,Team Functioning,"Perceived team functioning of primary care and women's health providers and staff, measured based on responses to 7 survey items. The team functioning score ranged from 1 to 5 , with the higher score indicating better team functioning.",Baseline to 24-month,Primary care and women's health providers and staff. The analysis was based on cases with non-missing outcome data. There are 80 missing cases in the EBQI arm and 74 in the control arm.,,,score on a scale,,Standard Deviation,MEAN
100779467,NCT02039856,SECONDARY,Providers and Staff Burnout,"Burnout was measured using one item: ""How often does the following statement apply to you: I feel burned out from my work"" with options for 1.Never, 2. A few times a year, 3. Every month, 4. A few times a month, 5. Every week, 6. A few times a week, 7. Every day. We recoded the responses into a binary value: never/less than a few times a month (1-4) and every week-to-everyday (5-7).",24-month,Primary care and women's health providers and staff. The analysis was based on cases with non-missing burnout data. There were 30 missing cases in the EBQI arm and 10 in the control arm.,,,Participants,,,COUNT_OF_PARTICIPANTS
100779468,NCT02039856,SECONDARY,Patient VA Primary Care Visits Per Year,Average number of visits to VA primary care per year,Baseline to 24month,Patients only. One patient in the EBQI arm had missing outcome information and was excluded from the analysis.,,,average visits per year for all patients,,Standard Deviation,MEAN
100779469,NCT02039856,SECONDARY,Patient VA Women's Health Care Visits Per Year,Average number of patient visits to VA women's health care per year,Baseline to 24month,Patients only. One patient in the EBQI arm had missing outcome information and was excluded from the analysis.,,,Average visits per year for all patients,,Standard Deviation,MEAN
100897612,NCT02766608,SECONDARY,"FEV1 on Day 1, 30 Minutes, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 30 Minutes,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100897613,NCT02766608,SECONDARY,"FEV1 on Day 1, 1 Hour, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 1 Hour,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100897614,NCT02766608,SECONDARY,"FEV1 on Day 1, 2 Hours, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 2 Hours,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100779470,NCT02039856,SECONDARY,Patient VA Hospitalization,Average number of patient hospitalization for any cause in a year,Baseline to 24-month,Patients only. One patient in the EBQI arm had missing outcome information and was excluded from the analysis.,,,Average visits per year for all patients,,Standard Deviation,MEAN
100779471,NCT02039856,SECONDARY,Patient Emergency Room Visits,Average number of patient emergency room visits for any cause in a year,baseline to 24-month,Patients only. One patient in the EBQI arm had missing outcome information and was excluded from the analysis.,,,Average visits per year for all patients,,Standard Deviation,MEAN
100779472,NCT02999633,PRIMARY,Percentage of Participants With Objective Response,"Objective response was defined as percentage of participants with complete response (CR) or with complete response with incomplete peripheral recovery (CRi) as per National Comprehensive Cancer Network (NCCN) guidelines. CR was defined as no circulating blasts or extramedullary disease, no lymphadenopathy, splenomegaly, skin/gum infiltration/testicular mass/central nervous system involvement, trilineage hematopoiesis and less than 5 percentage blasts, absolute neutrophil count (ANC) greater than 1000 per micro liter, platelets less than 100 000 per micro liter, no recurrence for 4 weeks. CRi meet all criteria for complete response except platelet count and/or ANC.",Baseline until disease progression or death (maximum duration: 12.1 weeks),Safety analysis set included all participants who received at least 1 dose of isatuximab.,,,percentage of participants,,95% Confidence Interval,NUMBER
100897615,NCT02766608,SECONDARY,"FEV1 on Day 1, 4 Hours, Time to Onset of Action Determination","Time to onset of action Day 1 was evaluated by calculating change from baseline in FEV1 at each post-dose timepoint (5min, 15min, 30min, 1hr, 2hr, and 4hr), then comparing each treatment to BD MDI 320 ug. The first timepoint a statistically significant difference from BD MDI 320 ug of ≥100mL was determined to be time of onset for that treatment.",Day 1 - 4 Hours,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100897616,NCT02766608,OTHER_PRE_SPECIFIED,Substudy: 12-hour PFT Endpoint FEV1 AUC0-12,Substudy: 12-hour PFT (Pulmonary Function Test) endpoint FEV1 (Forced Expiratory Volume) AUC0-12 (Area under the Curve 0-12). Changes from baseline in FEV1 AUC0-12 were normalized by taking the area under the curve value and dividing by the length of time under consideration. This normalization represents a weighted average of the change from baseline in FEV1 over the 12-hour period.,at Week 12,mITT,,,Liter,,95% Confidence Interval,LEAST_SQUARES_MEAN
100904289,NCT00833989,PRIMARY,Number of Participants With Electrocardiogram (ECG) Values Outside Range of Potential Clinical Importance,"Single 12-lead ECGs was obtained. The standard ECG criteria of potential clinical importance were uncorrected QT interval \<300 and \>600 milliseconds (msec), absolute QTc interval \>500 msec, increase from Baseline QTc \>60 msec, RR Interval \<90 and \>2000 msec, PR Interval \<110 and \>220 msec, QRS Interval \<75 and \>110 msec. The number of participants with potentially clinically significant ECG abnormality were reported.",Up to 112 days,All Subjects population. Only those participants with data available at the indicated time points were analyzed.,,,Participants,,,COUNT_OF_PARTICIPANTS
100897617,NCT02033889,PRIMARY,Change From Baseline in A1C at Week 26 (Excluding Rescue Approach),"A1C is blood marker used to report average blood glucose levels over prolonged periods of time. Percentage A1C is the ratio of glycated hemoglobin to total hemoglobin x 100. Thus, this change from baseline reflects the Week 26 A1C minus the Week 0 A1C (which is estimated on average for each treatment group using a constrained longitudinal data analysis model, which allows for participants with missing data to be included in the analysis). Participants who met pre-specified glycemic criteria were rescued with oral tablets of open-label glimepiride or basal insulin injected subcutaneously, and dosed according to Investigator judgment. Per protocol, this data set excludes data for any participant after the initiation of glycemic rescue therapy.",Baseline and Week 26,All randomized participants who took at least one dose of study medication and had at least one assessment of the respective endpoint at baseline or post-baseline up to Week 26.,,,Percent A1C,,95% Confidence Interval,LEAST_SQUARES_MEAN
101133857,NCT04134728,SECONDARY,Change From Baseline in Functional Assessment of Chronic Illness Therapy (FACIT)-Fatigue at Week 12,"The Functional Assessment of Chronic Illness Therapy (FACIT)-fatigue is a validated patient-reported measure of 13 statements regarding the feeling of fatigue. The total score ranges from 0 to 52 with higher values representing a lower fatigue and a better quality of life. A positive change from baseline in FACIT-fatigue indicates an improvement. For the purpose of all analyses up to week 12, the placebo arms were pooled into a single placebo arm to primarily serve as a reference for the comparison of active treatment arms.",Baseline (Day 01) and Week 12,The analysis was performed on the ITT Set that includes all randomized participants who received at least one dose of study intervention. This population was based on the treatment the participants were randomized into. Analysis was performed using multiple imputation method to handle missing data.,,,Scores on a scale,,Standard Error,LEAST_SQUARES_MEAN
