nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label
NCT00001056,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,25.0,COMPLETED,
NCT00001057,PHASE2,HIV Infections,DRUG,NIH,105.0,COMPLETED,
NCT00001058,PHASE2,Mycobacterium Avium-intracellulare Infection,DRUG,NIH,246.0,COMPLETED,
NCT00001059,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,120.0,COMPLETED,
NCT00001060,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,30.0,COMPLETED,
NCT00001061,PHASE2,Cytomegalovirus Retinitis,DRUG,INDUSTRY,167.0,COMPLETED,
NCT00001062,PHASE1,Cytomegalovirus Retinitis,DRUG,NIH,25.0,COMPLETED,
NCT00001063,PHASE2,HIV Infections,DRUG,INDUSTRY,200.0,COMPLETED,
NCT00001064,NA,HIV Infections,DRUG,NIH,,TERMINATED,
NCT00001065,PHASE2,"Candidiasis, Oral",DRUG,INDUSTRY,70.0,COMPLETED,
NCT00001066,PHASE2,HIV Infections,DRUG,INDUSTRY,740.0,COMPLETED,
NCT00001067,PHASE2,HIV Infections,DRUG,NIH,105.0,COMPLETED,
NCT00001068,PHASE2,HIV Infections,DRUG,NIH,210.0,COMPLETED,
NCT00001069,,HIV Infections,,NIH,1100.0,TERMINATED,
NCT00001070,NA,HIV Infections,DRUG,NIH,0.0,WITHDRAWN,
NCT00001071,NA,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00001072,PHASE1,HIV Infections,BIOLOGICAL,NIH,140.0,COMPLETED,
NCT00001073,PHASE3,HIV Infections,DRUG,NIH,150.0,COMPLETED,
NCT00001074,PHASE1,HIV Infections,DRUG,NIH,140.0,COMPLETED,
NCT00001075,NA,HIV Infections,DRUG,NIH,55.0,COMPLETED,
NCT00001076,PHASE1,HIV Infections,BIOLOGICAL,NIH,34.0,COMPLETED,
NCT00001077,,HIV Infections,DIETARY_SUPPLEMENT,NIH,536.0,COMPLETED,
NCT00001078,NA,HIV Infections,BIOLOGICAL,NIH,200.0,COMPLETED,
NCT00001079,PHASE2,HIV Infections,DRUG,NIH,80.0,COMPLETED,
NCT00001080,NA,HIV Infections,BIOLOGICAL,NIH,0.0,WITHDRAWN,
NCT00001081,PHASE2,Cryptosporidiosis,DRUG,NIH,60.0,COMPLETED,
NCT00001082,PHASE3,Cytomegalovirus Infections,DRUG,NIH,505.0,COMPLETED,
NCT00001083,PHASE2,HIV Infections,DRUG,NIH,240.0,COMPLETED,
NCT00001084,PHASE2,HIV Infections,DRUG,NIH,500.0,COMPLETED,
NCT00001085,PHASE2,HIV Infections,DRUG,NIH,94.0,COMPLETED,
NCT00001086,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00001087,PHASE2,HIV Infections,DRUG,NIH,300.0,COMPLETED,
NCT00001088,PHASE1,HIV Infections,BIOLOGICAL,NIH,40.0,COMPLETED,
NCT00001089,,Cytomegalovirus Infections,,NIH,400.0,COMPLETED,
NCT00001090,PHASE1,HIV Infections,BIOLOGICAL,NIH,36.0,COMPLETED,
NCT00001091,PHASE1,HIV Infections,DRUG,NIH,200.0,COMPLETED,
NCT00001092,,HIV Infections,,NIH,20.0,COMPLETED,
NCT00001093,,HIV Infections,,NIH,48.0,COMPLETED,
NCT00001094,PHASE2,HIV Infections,DRUG,NIH,0.0,WITHDRAWN,
NCT00001095,PHASE2,HIV Infections,DRUG,NIH,94.0,COMPLETED,
NCT00001096,PHASE1,HIV Infections,BIOLOGICAL,NIH,60.0,COMPLETED,
NCT00001097,,HIV Infections,,NIH,120.0,COMPLETED,
NCT00001100,PHASE3,Cytomegalovirus Infections,DRUG,NIH,130.0,COMPLETED,
NCT00001101,PHASE3,Lyme Disease,DRUG,NIH,194.0,COMPLETED,
NCT00001102,,HIV Infections,,NIH,460.0,COMPLETED,
NCT00001103,,Cognitive Disorders,,NIH,100.0,COMPLETED,
NCT00001104,PHASE3,HIV Infections,DRUG,NIH,538.0,COMPLETED,
NCT00001105,PHASE1,HIV Infections,DRUG,NIH,8.0,COMPLETED,
NCT00001106,PHASE1,HIV Infections,DRUG,NIH,40.0,COMPLETED,
NCT00001107,PHASE4,Candidiasis,DRUG,NIH,500.0,COMPLETED,
NCT00001108,PHASE1,HIV Infections,DRUG,NIH,6.0,COMPLETED,
NCT00001109,,HIV Infections,,NIH,630.0,COMPLETED,
NCT00001110,NA,HIV Infections,PROCEDURE,NIH,50.0,COMPLETED,
NCT00001111,NA,HIV Infections,DRUG,INDUSTRY,35.0,COMPLETED,
NCT00001112,PHASE1,HIV Infections,DRUG,NIH,5.0,COMPLETED,
NCT00001113,PHASE1,"Sarcoma, Kaposi",DRUG,NIH,48.0,COMPLETED,
NCT00001114,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,90.0,COMPLETED,
NCT00001115,NA,Herpes Simplex,DRUG,NIH,75.0,COMPLETED,
NCT00001116,NA,HIV Infections,DRUG,NIH,18.0,COMPLETED,
NCT00001117,,HIV Infections,,NIH,60.0,COMPLETED,
NCT00001118,PHASE1,HIV Infections,DRUG,NIH,24.0,COMPLETED,
NCT00001119,NA,HIV Infections,BIOLOGICAL,NIH,288.0,COMPLETED,
NCT00001120,,"Sarcoma, Kaposi",,NIH,5000.0,COMPLETED,
NCT00001121,,HIV Infections,,NIH,,COMPLETED,
NCT00001122,PHASE2,HIV Infections,DRUG,NIH,74.0,COMPLETED,
NCT00001123,NA,Hantavirus Pulmonary Syndrome,DRUG,NIH,130.0,COMPLETED,
NCT00001125,PHASE1,HIV Infections,BIOLOGICAL,NIH,60.0,COMPLETED,
NCT00001126,PHASE1,Papilloma,DRUG,NIH,36.0,COMPLETED,
NCT00001127,PHASE3,Influenza,BIOLOGICAL,INDUSTRY,15000.0,COMPLETED,
NCT00001128,NA,Cryptosporidiosis,DRUG,INDUSTRY,16.0,TERMINATED,
NCT00001129,NA,HIV Infections,DEVICE,NIH,1248.0,COMPLETED,
NCT00001130,,HIV Infections,,NIH,200.0,COMPLETED,
